DATE,TMAX,TMIN
1/1/2017,26,5
1/2/2017,26,7
1/3/2017,18,5
1/4/2017,20,8
1/5/2017,10,-23
1/6/2017,4,-29
1/7/2017,31,-13
1/8/2017,41,24
1/9/2017,41,27
1/10/2017,42,27
1/11/2017,41,28
1/12/2017,30,16
1/13/2017,26,10
1/14/2017,23,5
1/15/2017,18,3
1/16/2017,21,3
1/17/2017,20,2
1/18/2017,30,5
1/19/2017,37,25
1/20/2017,36,9
1/21/2017,36,22
1/22/2017,38,25
1/23/2017,33,25
1/24/2017,29,14
1/25/2017,29,11
1/26/2017,31,16
1/27/2017,24,16
1/28/2017,26,-7
1/29/2017,21,-9
1/30/2017,26,-3
1/31/2017,31,4
2/1/2017,28,8
2/2/2017,25,12
2/3/2017,44,17
2/4/2017,45,37
2/5/2017,47,34
2/6/2017,47,34
2/7/2017,49,32
2/8/2017,50,34
2/9/2017,51,43
2/10/2017,46,37
2/11/2017,39,23
2/12/2017,35,18
2/13/2017,38,19
2/14/2017,42,18
2/15/2017,52,21
2/16/2017,48,27
2/17/2017,44,25
2/18/2017,50,41
2/19/2017,49,27
2/20/2017,46,28
2/21/2017,56,37
2/22/2017,44,27
2/23/2017,28,22
2/24/2017,29,11
2/25/2017,31,10
2/26/2017,39,20
2/27/2017,32,20
2/28/2017,34,24
3/1/2017,42,23
3/2/2017,49,21
3/3/2017,48,22
3/4/2017,51,31
3/5/2017,49,25
3/6/2017,34,22
3/7/2017,42,25
3/8/2017,53,36
3/9/2017,59,43
3/10/2017,58,40
3/11/2017,60,25
3/12/2017,56,32
3/13/2017,66,28
3/14/2017,71,31
3/15/2017,72,32
3/16/2017,60,37
3/17/2017,71,34
3/18/2017,70,41
3/19/2017,64,41
3/20/2017,63,40
3/21/2017,70,41
3/22/2017,56,40
3/23/2017,53,29
3/24/2017,59,27
3/25/2017,52,32
3/26/2017,56,26
3/27/2017,49,34
3/28/2017,52,35
3/29/2017,60,25
3/30/2017,54,33
3/31/2017,55,33
4/1/2017,58,32
4/2/2017,57,38
4/3/2017,47,24
4/4/2017,51,19
4/5/2017,63,37
4/6/2017,64,40
4/7/2017,63,42
4/8/2017,54,33
4/9/2017,47,26
4/10/2017,53,27
4/11/2017,58,23
4/12/2017,69,31
4/13/2017,57,36
4/14/2017,46,32
4/15/2017,55,23
4/16/2017,65,24
4/17/2017,58,46
4/18/2017,57,44
4/19/2017,60,36
4/20/2017,52,38
4/21/2017,55,31
4/22/2017,62,25
4/23/2017,63,39
4/24/2017,50,38
4/25/2017,54,38
4/26/2017,52,39
4/27/2017,47,35
4/28/2017,50,31
4/29/2017,56,28
4/30/2017,61,33
5/1/2017,60,38
5/2/2017,62,46
5/3/2017,70,35
5/4/2017,80,35
5/5/2017,83,46
5/6/2017,77,45
5/7/2017,59,42
5/8/2017,65,42
5/9/2017,71,31
5/10/2017,76,31
5/11/2017,83,36
5/12/2017,81,41
5/13/2017,57,29
5/14/2017,63,25
5/15/2017,62,40
5/16/2017,64,32
5/17/2017,36,30
5/18/2017,54,26
5/19/2017,63,43
5/20/2017,71,40
5/21/2017,71,47
5/22/2017,76,41
5/23/2017,79,40
5/24/2017,74,49
5/25/2017,64,44
5/26/2017,55,35
5/27/2017,72,32
5/28/2017,78,36
5/29/2017,81,37
5/30/2017,86,38
5/31/2017,90,47
6/1/2017,77,50
6/2/2017,77,38
6/3/2017,89,41
6/4/2017,91,50
6/5/2017,76,43
6/6/2017,91,38
6/7/2017,95,45
6/8/2017,91,53
6/9/2017,65,44
6/10/2017,66,43
6/11/2017,71,39
6/12/2017,60,44
6/13/2017,64,42
6/14/2017,75,39
6/15/2017,81,42
6/16/2017,80,50
6/17/2017,73,52
6/18/2017,81,52
6/19/2017,84,49
6/20/2017,96,55
6/21/2017,87,60
6/22/2017,79,56
6/23/2017,81,43
6/24/2017,86,38
6/25/2017,92,41
6/26/2017,96,49
6/27/2017,83,55
6/28/2017,82,50
6/29/2017,79,37
6/30/2017,84,38
7/1/2017,91,39
7/2/2017,96,56
7/3/2017,96,47
7/4/2017,99,51
7/5/2017,98,52
7/6/2017,99,51
